Epoch;Policy Loss;Value Loss;Total Loss
0;0.0669514;0.378346;0.445297
1;0.0669242;0.394349;0.461274
2;0.0669791;0.307229;0.374208
3;0.0669938;0.39362;0.460614
4;0.0670027;0.384631;0.451633
5;0.0669185;0.457609;0.524527
6;0.0669771;0.353859;0.420836
7;0.066921;0.326726;0.393647
8;0.0669273;0.379568;0.446496
9;0.0669252;0.401551;0.468476
10;0.0669246;0.345429;0.412354
11;0.0669839;0.381152;0.448136
12;0.0670132;0.336223;0.403236
13;0.0669478;0.369873;0.436821
14;0.0670007;0.379238;0.446239
15;0.0670075;0.360423;0.427431
16;0.0669388;0.435738;0.502677
17;0.0669923;0.417238;0.48423
18;0.0669703;0.409369;0.47634
19;0.0669796;0.397866;0.464846
20;0.0669389;0.369319;0.436258
21;0.0669692;0.396507;0.463477
22;0.066997;0.319291;0.386288
23;0.0669373;0.333385;0.400322
24;0.0669781;0.331032;0.39801
25;0.0669924;0.450893;0.517885
26;0.0669849;0.332342;0.399327
27;0.0670054;0.38977;0.456775
28;0.0669881;0.435702;0.50269
29;0.0669724;0.379344;0.446316
30;0.0669425;0.402155;0.469097
31;0.0668964;0.469507;0.536403
32;0.0669781;0.346972;0.41395
33;0.066976;0.395494;0.46247
34;0.066997;0.41469;0.481687
35;0.0669331;0.37978;0.446713
36;0.0669619;0.373221;0.440183
37;0.0669854;0.314868;0.381853
38;0.0669781;0.40111;0.468088
39;0.0669179;0.365643;0.432561
40;0.066953;0.410159;0.477111
41;0.0669739;0.346288;0.413262
42;0.0669714;0.405818;0.472789
43;0.0669875;0.403456;0.470444
44;0.0669021;0.385747;0.45265
45;0.0669703;0.385554;0.452524
46;0.0669954;0.471305;0.538301
47;0.0669409;0.389457;0.456398
48;0.0669405;0.382032;0.448973
49;0.0669776;0.401445;0.468423
50;0.0669572;0.395219;0.462177
51;0.0669386;0.358738;0.425677

